carID,name,model,year,city,km,condition,color,price
17,پژو,پارس دوگانه سوز,1389,اصفهان,260000,چند لکه رنگ,سفید,98000000
18,پژو,پارس دوگانه سوز,1389,اصفهان,260000,چند لکه رنگ,سفید,98000000
19,رنو,تندر 90 E1,1388,اهواز,202000,یک لکه رنگ,مشکی,130000000
20,پراید,111 SE,1395,رشت,130000,بدون رنگ,سفید,115000000
21,پژو,405 GLX بنزینی,1387,شیراز,213000,چند لکه رنگ,نقره ای,85000000
22,پژو,پارس دوگانه سوز,1389,اصفهان,260000,چند لکه رنگ,سفید,98000000
23,رنو,تندر 90 E1,1388,اهواز,202000,یک لکه رنگ,مشکی,130000000
24,پراید,111 SE,1395,رشت,130000,بدون رنگ,سفید,115000000
25,پژو,405 GLX بنزینی,1387,شیراز,213000,چند لکه رنگ,نقره ای,85000000
26,چری,تیگو 5 IE,1397,شهریار,135000,یک لکه رنگ,مشکی,500000000
27,پژو,207 دنده ای,1400,کرمانشاه,0,بدون رنگ,سفید,335000000
28,پژو,پارس دوگانه سوز,1389,اصفهان,260000,چند لکه رنگ,سفید,98000000
29,رنو,تندر 90 E1,1388,اهواز,202000,یک لکه رنگ,مشکی,130000000
30,پراید,111 SE,1395,رشت,130000,بدون رنگ,سفید,115000000
31,پژو,405 GLX بنزینی,1387,شیراز,213000,چند لکه رنگ,نقره ای,85000000
32,رنو,تندر 90 E2,1397,تهران,58000,بدون رنگ,سفید,300000000
33,دنا,ساده,1399,کاشان,16000,بدون رنگ,سفید,295000000
34,تیبا,۱ (صندوق دار) SX,1395,تهران,56000,بدون رنگ,خاکی,117000000
35,دوو,سیلو,1380,ساری,222000,دور رنگ,طوسی,55200000
36,پژو,206 تیپ 6,1384,تهران,190000,چند لکه رنگ,نقره ای,112000000
37,سمند,X7,1388,اصفهان,154000,دور رنگ,مشکی,185000000
38,پژو,206 SD V8,1399,گنبد کاووس,10000,بدون رنگ,نوک مدادی,275000000
39,پژو,405 GL دوگانه سوز,1397,تهران,80000,یک لکه رنگ,نوک مدادی,173000000
40,پژو,206 تیپ 2,1396,تهران,83000,بدون رنگ,سفید,195000000
41,پراید,وانت 151 پلاس,1400,تهران,0,بدون رنگ,سفید,165000000
42,رنو,تندر 90 پارس,1394,تبریز,179000,چند لکه رنگ,سفید,194000000
43,کیا,سراتو مونتاژ 1600 آپشنال,1396,مشهد,60000,بدون رنگ,مشکی,528000000
44,رنو,تندر 90 پارس,1397,ارومیه,71000,بدون رنگ,سفید,310000000
45,رانا,LX,1393,تهران,155000,بدون رنگ,سفید,163000000
46,پژو,405 GLX بنزینی,1381,تبریز,100000,دور رنگ,قهوه ای,60000000
47,تیبا,۲‌ (هاچ بک) EX,1400,تهران,0,بدون رنگ,سفید,158000000
48,تویوتا,پریوس تیپ 3,2017,تهران,48000,یک لکه رنگ,نقره ای,948700000
49,تیبا,۱ (صندوق دار) SX,1397,شیراز,100000,بدون رنگ,سفید,124000000
50,پژو,207 دنده ای,1397,تهران,75000,بدون رنگ,سفید,276000000
51,زوتی,آریو 1600 دنده ای,1397,شهر ری,50000,یک لکه رنگ,سفید,305000000
52,پژو,206 تیپ 2,1396,تهران,55000,بدون رنگ,بنفش,183000000
53,پژو,206 تیپ 5,1394,تهران,40000,دو لکه رنگ,سفید,200000000
54,سمند,LX ساده,1400,اسلامشهر,0,بدون رنگ,سفید,225000000
55,تیبا,۱ (صندوق دار) SX,1398,تهران,10000,بدون رنگ,سفید,136000000
56,سمند,LX ساده,1393,اصفهان,82000,بدون رنگ,سفید,160000000
57,پژو,206 SD V8,1396,تهران,93000,بدون رنگ,آبی,235000000
58,جک,S5 اتوماتیک,1395,تبریز,100000,بدون رنگ,طوسی,540000000
59,پژو,206 تیپ 2,1399,تهران,0,بدون رنگ,سفید,239000000
60,پراید,131 SE,1397,تهران,29000,بدون رنگ,سفید,120000000
61,پژو,206 SD V1,1386,تهران,190000,چند لکه رنگ,قهوه ای,110000000
62,پژو,206 تیپ 5,1395,پردیس,97000,بدون رنگ,سفید,192000000
63,پژو,207 دنده ای,1396,بندر‌عباس,90000,یک لکه رنگ,طوسی,242000000
64,پژو,پارس ساده,1395,تهران,100000,بدون رنگ,سفید,198000000
65,کیا,ریو مونتاژ,1385,اصفهان,300000,کامل رنگ,سفید,70000000
66,کیا,ریو مونتاژ,1390,تهران,197000,صافکاری بدون رنگ,سفید,145700000
67,پژو,Roa ساده,1388,بابل,90000,دور رنگ,نقره ای,50000000
68,پژو,206 تیپ 2,1399,تهران,0,بدون رنگ,سفید,240000000
69,سمند,X7,1382,ساری,300000,دور رنگ,نقره ای,57000000
70,پژو,405 GLX بنزینی,1382,تهران,400000,دور رنگ,مشکی,59000000
71,پراید,111 SE,1395,تهران,99000,بدون رنگ,سفید,115000000
72,پژو,206 تیپ 5,1392,اصفهان,118000,دو لکه رنگ,سفید,162000000
73,پژو,206 SD V8,1398,تهران,8000,بدون رنگ,نوک مدادی,275000000
74,رنو,تندر 90 پارس,1396,تهران,30000,بدون رنگ,سفید صدفی,289000000
75,پژو,پارس ساده,1385,نجف‌آباد,400000,چند لکه رنگ,نقره ای,98000000
76,پژو,پارس ELX,1384,تهران,168000,بدون رنگ,مشکی,105000000
77,پژو,206 SD V8,1398,تهران,2000,بدون رنگ,نوک مدادی,265000000
78,پژو,206 تیپ 6,1388,تهران,215000,دو لکه رنگ,طوسی,150000000
79,پژو,405 GLX دوگانه سوز,1395,شیراز,190000,دو لکه رنگ,نوک مدادی,140000000
80,سمند,LX ساده,1396,تهران,30000,صافکاری بدون رنگ,سفید,182000000
81,پراید,131 SE,1399,تهران,19000,بدون رنگ,سفید,127000000
82,برلیانس,H320 1.5 اتوماتیک,1396,تهران,106000,صافکاری بدون رنگ,سفید,290000000
83,سمند,LX EF7 دوگانه سوز,1400,قزوین,0,بدون رنگ,سفید,280000000
84,ام,وی ام 550 اتوماتیک,1396,تهران,80000,یک لکه رنگ,مشکی,263000000
85,ام,وی ام X22 دنده ای لاکچری,1397,شیراز,43000,بدون رنگ,سفید صدفی,350000000
86,ام,وی ام X33 دنده ای,1391,تهران,110000,دور رنگ,مشکی,170000000
87,پراید,131 SE,1396,شهریار,87000,بدون رنگ,نوک مدادی,108000000
88,میتسوبیشی,لنسر 1.8 اتوماتیک,2017,تهران,54000,بدون رنگ,نوک مدادی,870000000
89,پراید,111 EX,1391,شیراز,220000,چند لکه رنگ,مشکی,73000000
90,جک,J5 1800,1394,گنبد کاووس,130000,یک لکه رنگ,سفید,245000000
91,ساینا,EX,1397,اسلامشهر,54000,بدون رنگ,نقره ای,143000000
92,پژو,206 SD V20,1386,تبریز,280000,چند لکه رنگ,سفید,115000000
93,پراید,صندوق دار ساده بنزینی,1389,تهران,84000,بدون رنگ,بژ,89000000
94,کوییک,دنده ای ساده,1400,اصفهان,0,بدون رنگ,سفید,175000000
95,ساینا,EX,1400,بابل,0,بدون رنگ,سفید,160000000
96,پیکان,وانت,1393,تهران,180000,دو لکه رنگ,سفید,116000000
97,تیبا,۲‌ (هاچ بک) EX,1393,تهران,120000,یک لکه رنگ,نوک مدادی,105000000
98,پژو,206 SD V8,1393,شیراز,500000,چند لکه رنگ,سفید,152000000
99,پژو,405 GLX دوگانه سوز,1396,شهریار,105000,بدون رنگ,نوک مدادی,179000000
100,هیوندای,جنسیس کوپه,2010,تهران,144000,یک لکه رنگ,مشکی,830000000
101,پراید,صندوق دار ساده دوگانه سوز,1389,تهران,400000,یک لکه رنگ,سفید,75000000
102,پراید,131 SE,1397,پاکدشت,70000,یک لکه رنگ,سفید,103
103,پژو,206 SD V8,1393,شیراز,500000,چند لکه رنگ,سفید,152000000
104,مزدا,3 تیپ 4,1398,تهران,0,بدون رنگ,سفید,1220000000
105,پژو,پارس LX,1389,ملایر,160000,دور رنگ,نوک مدادی,110000000
106,رنو,تندر 90 E2,1394,اصفهان,150000,بدون رنگ,سفید,265000000
107,دانگ,فنگ H30 Cross,1396,تهران,70000,بدون رنگ,سفید,295000000
108,برلیانس,H320 1.5 اتوماتیک,1395,تهران,50000,بدون رنگ,آلبالویی,294000000
109,پژو,205,1400,الوند,0,بدون رنگ,سفید,255000000
110,پژو,207 دنده ای,1399,شهر ری,10000,بدون رنگ,مشکی,320000000
111,لیفان,620 1.8,1394,خرم‌آباد,159000,بدون رنگ,سفید صدفی,175000000
112,پژو,405 GLX بنزینی,1394,ورامین,158000,یک لکه رنگ,نقره ای,136500000
113,جک,J5 1800,1395,تهران,119000,صافکاری بدون رنگ,سفید,320000000
114,پژو,207 دنده ای,1397,شیراز,47000,بدون رنگ,مشکی,275000000
115,رنو,تندر 90 E2,1391,بابل,120000,کامل رنگ,سفید,139000000
116,پژو,405 GLX دوگانه سوز,1396,شیراز,140000,بدون رنگ,زرد,138000000
117,پراید,صندوق دار ساده بنزینی,1388,تهران,383000,یک لکه رنگ,مشکی,64000000
118,پژو,206 تیپ 2,1398,تهران,24000,یک لکه رنگ,سفید,212000000
